FID,x,y,adr_pelny,ogolem
35228,20.07644269,50.0998727,FOLWARCZNA 8,3
36423,20.07337248,50.09828683,FRANCISZKA TWAROGA 3,2
29455,20.07330901,50.09861995,FRANCISZKA TWAROGA 4,3
14501,20.07308295,50.09849479,FRANCISZKA TWAROGA 5,6
43164,20.07280146,50.09868393,FRANCISZKA TWAROGA 7,1
12547,20.07055887,50.09743242,GEODEToW 10,7
46997,20.06910969,50.09723123,GEODEToW 14D,1
11184,20.06899238,50.09731558,GEODEToW 14E,9
42573,20.06948007,50.09669938,GEODEToW 16,1
35530,20.06897564,50.09613298,GEODEToW 17,3
21679,20.06927511,50.09594173,GEODEToW 17A,5
28593,20.06955221,50.09574446,GEODEToW 17B,4
18918,20.06871722,50.09649076,GEODEToW 18B,5
42590,20.07100829,50.09848607,GEODEToW 2,1
20135,20.06859782,50.09635948,GEODEToW 20,5
39816,20.06854789,50.09631781,GEODEToW 22,2
22893,20.0682471,50.0965245,GEODEToW 22A,4
16867,20.06801751,50.09666353,GEODEToW 22B,6
33345,20.06772914,50.09682168,GEODEToW 22C,3
33052,20.06754516,50.09693252,GEODEToW 22D,3
29459,20.06870243,50.09588387,GEODEToW 23,3
28576,20.06815995,50.09631644,GEODEToW 24AB,4
